ID,地形,文化,信仰,発展度,支配度
1,険しい山,茶文化,新宗教,3,
2,険しい山,茶文化,新宗教,3,
3,険しい山,茶文化,新宗教,3,
4,険しい山,茶文化,新宗教,3,
5,険しい山,茶文化,新宗教,3,
6,険しい山,茶文化,茶の伝統宗教,3,
7,険しい山,茶文化,茶の伝統宗教,3,
8,険しい山,茶文化,茶の伝統宗教,3,
9,険しい山,茶文化,茶の伝統宗教,3,
10,山,茶文化,新宗教,4,
11,山,茶文化,新宗教,6,
12,山,茶文化,新宗教,8,
13,丘陵,赤文化,新宗教,6,
14,丘陵,赤文化,新宗教,5,
15,丘陵,赤文化,新宗教,5,
16,山,茶文化,茶の伝統宗教,4,
17,山,茶文化,茶の伝統宗教,5,
18,山,茶文化,茶の伝統宗教,4,
19,丘陵,赤文化,新宗教,4,
20,丘陵,赤文化,新宗教,4,
21,平野,赤文化,新宗教,5,
22,平野,赤文化,新宗教,6,
23,平野,赤文化,新宗教,9,
24,平野,赤文化,新宗教,6,
25,平野,赤文化,新宗教,4,
26,森,赤文化,赤の伝統宗教,4,
27,森,茶文化,茶の伝統宗教,4,
28,平野,赤文化,新宗教,5,
29,平野,赤文化,新宗教,7,
30,平野,赤文化,新宗教,5,
31,平野,赤文化,新宗教,6,
32,平野,赤文化,新宗教,7,
33,平野,赤文化,新宗教,6,
34,平野,赤文化,新宗教,6,
35,平野,赤文化,新宗教,7,
36,平野,赤文化,新宗教,5,
37,平野,青文化,青の伝統宗教,4,
38,平野,青文化,青の伝統宗教,4,
39,平野,青文化,青の伝統宗教,5,
40,平野,青文化,青の伝統宗教,5,
41,平野,緑文化,新宗教,10,
42,平野,緑文化,新宗教,8,
43,平野,緑文化,新宗教,8,
44,平野,緑文化,新宗教,6,
45,平野,緑文化,新宗教,5,
46,湿地,青文化,青の伝統宗教,4,
47,湿地,青文化,青の伝統宗教,4,
48,森,青文化,青の伝統宗教,4,
49,森,青文化,青の伝統宗教,4,
50,平野,緑文化,新宗教,8,
51,平野,緑文化,新宗教,8,
52,平野,緑文化,新宗教,8,
53,平野,緑文化,新宗教,6,
54,平野,緑文化,新宗教,5,
55,森,青文化,青の伝統宗教,4,
56,湿地,青文化,青の伝統宗教,4,
57,森,青文化,青の伝統宗教,4,
58,丘陵,青文化,青の伝統宗教,4,
59,平野,緑文化,新宗教,5,
60,平野,緑文化,新宗教,5,
61,平野,緑文化,新宗教,5,
62,森,緑文化,緑の伝統宗教,5,
63,森,緑文化,緑の伝統宗教,5,
64,湿地,青文化,青の伝統宗教,5,
65,湿地,青文化,青の伝統宗教,5,
66,森,青文化,青の伝統宗教,5,
67,山,青文化,青の伝統宗教,5,
68,丘陵,緑文化,新宗教,5,
69,丘陵,緑文化,新宗教,7,
70,平野,緑文化,新宗教,5,
71,森,緑文化,緑の伝統宗教,5,
72,山,緑文化,緑の伝統宗教,5,
73,湿地,青文化,青の伝統宗教,5,
74,森,青文化,青の伝統宗教,4,
75,山,青文化,青の伝統宗教,4,
76,山,青文化,青の伝統宗教,4,
77,山,緑文化,新宗教,4,
78,山,緑文化,新宗教,4,
79,山,緑文化,新宗教,4,
80,山,緑文化,緑の伝統宗教,7,
81,険しい山,緑文化,緑の伝統宗教,3,
